Tópico,Dias da Semana,Horários,Ordem,Cursos e Projetos,Link
Avançando tecnicamente com a expressão WHEN,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Explorando mapas loops e regras com Kotlin,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Utilizando a keyword object com orientação a objetos (oo),,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Orientação a objetos (OO) visando soluções mais idiomáticas,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Builder,,,,Explorando Padrões de Projetos em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Explorando%20Padro%CC%83es%20de%20Projetos%20em%20Kotlin%2029dfb5f2545e48f58e11a5543bf58dbd.md),
Singleton,,,,,
Adapter,,,,Explorando Padrões de Projetos em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Explorando%20Padro%CC%83es%20de%20Projetos%20em%20Kotlin%2029dfb5f2545e48f58e11a5543bf58dbd.md),
Extension Function,,,,Explorando Padrões de Projetos em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Explorando%20Padro%CC%83es%20de%20Projetos%20em%20Kotlin%2029dfb5f2545e48f58e11a5543bf58dbd.md),
Singleton,,,,Explorando Padrões de Projetos em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Explorando%20Padro%CC%83es%20de%20Projetos%20em%20Kotlin%2029dfb5f2545e48f58e11a5543bf58dbd.md),
Processamento paralelo / assíncrono,,,,Explorando Padrões de Projetos em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Explorando%20Padro%CC%83es%20de%20Projetos%20em%20Kotlin%2029dfb5f2545e48f58e11a5543bf58dbd.md),
Introdução a banco de dados relacionais (SQL),,,,Entendendo Banco de Dados SQL e NoSQL (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Entendendo%20Banco%20de%20Dados%20SQL%20e%20NoSQL%2075c12bdfd8104f50ad6e84fe06c4551b.md),
Introdução a banco de dados NoSQL,,,,Entendendo Banco de Dados SQL e NoSQL (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Entendendo%20Banco%20de%20Dados%20SQL%20e%20NoSQL%2075c12bdfd8104f50ad6e84fe06c4551b.md),
Preparando seu ambiente de desenvolvimento Kotlin com IntelliJ,,,,Kotlin no Backend com Spring Boot 3 (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Kotlin%20no%20Backend%20com%20Spring%20Boot%203%20eedbb37207564bcabc73b34081319787.md),
"Contextualizando o desenvolvimento web com Spring Boot 3 ",,,,Kotlin no Backend com Spring Boot 3 (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Kotlin%20no%20Backend%20com%20Spring%20Boot%203%20eedbb37207564bcabc73b34081319787.md),
Criando uma Api Rest com Kotlin e persitência de dados,,,,Kotlin no Backend com Spring Boot 3 (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Kotlin%20no%20Backend%20com%20Spring%20Boot%203%20eedbb37207564bcabc73b34081319787.md),
Documentando e testando sua Api Rest com Kotlin,,,,Kotlin no Backend com Spring Boot 3 (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Kotlin%20no%20Backend%20com%20Spring%20Boot%203%200a9a4d22197c458db7eb0cbf3cf99f3a.md),
